Serial numbering for all 3 batches of 3.8s,Date Processed,Flavour,Status,Location,Destination,Number (in silkscreen),Batch,Scans taken?,Shorts on capacitors?,mass (g),hv cap height (mm),connector height (mm),top cu thickness (microns),bot cu thickness (microns),SLDO 1 (kOhms),SLDO 2,SLDO3,SLDO4,Vin drop (V),GND Drop (V),HV leakage (mV on readout card),NTC reading,Temp (°C) (@HV test),humidity (%) (@HV test),Vin drop with jig compensation,GND drop with jig compensation
20UPGPQ0024049,30/11/2020,Thin,PASS,Edinburgh,,49,4,yes,no,1.532,not tested,not tested,23,24,,,,,0.383,0.13,44.81,1.41,24,38,0.375,0.119
20UPGPQ0024038,30/11/2020,Thin,PASS,Edinburgh,,38,4,yes,no,1.594,not tested,not tested,24,26,,,,,0.323,0.16,34.45,1.45,24,38,0.315,0.149
20UPGPQ0024040,30/11/2020,Thin,PASS,Edinburgh,,40,4,yes,no,1.597,not tested,not tested,24,28,,,,,0.333,0.2,35.79,1.45,24,38,0.325,0.189
20UPGPQ0024064,30/11/2020,Thin,PASS,Edinburgh,,64,4,yes,no,1.549,not tested,not tested,22,22,,,,,0.323,0.2,34.66,1.42,24,38,0.315,0.189
20UPGPQ0024039,30/11/2020,Thin,PASS,Edinburgh,,39,4,yes,no,1.593,not tested,not tested,23,26,,,,,0.324,0.61,31.45,1.55,24,38,0.316,0.599
20UPGPQ0024063,30/11/2020,Thin,PASS,Edinburgh,,63,4,yes,reworked,1.55,not tested,not tested,23,25,,,,,0.384,0.19,35.04,1.41,24,38,0.376,0.179
20UPGPQ0024062,30/11/2020,Thin,PASS,Edinburgh,,62,4,yes,no,1.544,not tested,not tested,23,24,,,,,0.344,0.16,31.55,1.39,24,38,0.336,0.149
20UPGPQ0024027,09/12/2020,Thin,PASS,Edinburgh,,27,4,yes,no,1.602,not tested,not tested,25,26,,,,,0.344,0.29,34.7,1.48,24,38,0.336,0.279
20UPGPQ0024028,09/12/2020,Thin,PASS,Edinburgh,,28,4,yes,no,1.601,not tested,not tested,24,25,,,,,0.343,0.24,32.92,1.47,24,38,0.335,0.229
20UPGPQ0024026,09/12/2020,Thin,FAIL,Edinburgh,,26,4,yes,no,1.594,not tested,not tested,24,25,,,,,0.332,2,34.12,1.99,24,38,0.324,1.989
20UPGPQ0024025,09/12/2020,Thin,PASS,Edinburgh,,25,4,yes,no,1.599,not tested,not tested,27,26,,,,,0.365,0.23,35.1,1.47,24,38,0.357,0.219
20UPGPQ0021053,09/12/2020,Thin,PASS,Edinburgh,,53,1,yes,no,1.659,not tested,not tested,27,27,,,,,0.344,0.22,38.11,1.33,24,38,0.336,0.209
20UPGPQ0021165,09/12/2020,Thin,PASS,Edinburgh,,165,1,yes,no,1.621,not tested,not tested,25,25,,,,,0.344,0.12,34.7,1.39,24,38,0.336,0.109
20UPGPQ0021180,09/12/2020,Thin,PASS,Edinburgh,,180,1,yes,no,1.677,not tested,not tested,25,27,,,,,0.344,0.22,37.91,1.27,24,38,0.336,0.209
20UPGPQ0021168,09/12/2020,Thin,PASS,Edinburgh,,168,1,yes,no,1.601,not tested,not tested,26,25,,,,,0.335,0.17,30.36,1.43,24,38,0.327,0.159
20UPGPQ0021159,09/12/2020,Thin,PASS,Edinburgh,,159,1,yes,reworked,1.62,not tested,not tested,27,25,,,,,0.385,0.14,31.79,1.42,24,38,0.377,0.129
20UPGPQ0021056,09/12/2020,Thin,PASS,Edinburgh,,56,1,yes,no,1.644,not tested,not tested,26,26,,,,,0.324,0.15,35.98,1.31,24,38,0.316,0.139
20UPGPQ0021092,09/12/2020,Thin,PASS,Edinburgh,,92,1,yes,reworked,1.637,not tested,not tested,27,25,,,,,0.323,0.2,37.45,1.25,24,38,0.315,0.189
20UPGPQ0021074,09/12/2020,Thin,PASS,Edinburgh,,74,1,yes,no,1.654,not tested,not tested,27,23,,,,,0.355,0.14,30.42,1.39,24,38,0.347,0.129
20UPGPQ0021158,09/12/2020,Thin,PASS,Edinburgh,,158,1,yes,no,1.622,not tested,not tested,26,26,,,,,0.303,0.14,34.19,1.35,24,38,0.295,0.129
