VPX14757-W773_Stability_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STABILITY
SENSOR_ST_SN: ???
component: 20USBSL0000773
date: 07.05.2019
TIME: 14:55:10
institution:
passed: false
problems: false
runNumber: 12
SENSOR_STA_LEN: 40h
SENSOR_STA_SETV: -500V
SENSOR_STA_MU: Keithley 2410
4 2643 (Not sure what this is, but this is ignored since no colon)
%%SENSOR_STA_TIME/%[s] %%SENSOR_STA_TEMP/%[�C] %%SENSOR_STA_HUM/%[%] %%SENSOR_STA_CURRENT/%[nA]
0026180.00 0000020.50 0000016.30 -000420.44
0026272.00 0000020.48 0000016.30 -000420.61
0026363.00 0000020.50 0000016.30 -000420.35
0026516.00 0000020.50 0000016.30 -000420.67
0026607.00 0000020.50 0000016.30 -000420.41
0026637.00 0000020.51 0000016.30 -000420.69
0026728.00 0000020.52 0000016.31 -000420.40
0026881.00 0000020.51 0000016.30 -000420.61
0027002.00 0000020.52 0000016.31 -000420.92
0027124.00 0000020.50 0000016.30 -000420.93
0027155.00 0000020.52 0000016.31 -000420.97
0027215.00 0000020.51 0000016.30 -000420.79
0027307.00 0000020.51 0000016.30 -000420.73
0027429.00 0000020.51 0000016.30 -000421.06
0027520.00 0000020.52 0000016.31 -000421.04
0027672.00 0000020.50 0000016.30 -000421.06
0027794.00 0000020.50 0000016.30 -000420.75
0027824.00 0000020.50 0000016.30 -000420.79
0027916.00 0000020.50 0000016.30 -000420.74
0028068.00 0000020.50 0000016.30 -000421.15
0028342.00 0000020.52 0000016.34 -000421.05
0028403.00 0000020.53 0000016.31 -000421.22
0028433.00 0000020.52 0000016.37 -000421.15
0028555.00 0000020.52 0000016.37 -000421.29
0028585.00 0000020.54 0000016.38 -000421.43
0028616.00 0000020.52 0000016.37 -000421.35
0028646.00 0000020.53 0000016.38 -000421.47
0028707.00 0000020.53 0000016.38 -000421.55
0028768.00 0000020.54 0000016.38 -000421.37
0028859.00 0000020.54 0000016.38 -000421.44
0029011.00 0000020.54 0000016.41 -000421.68
0029225.00 0000020.54 0000016.45 -000421.72
0029286.00 0000020.55 0000016.38 -000421.78
0029377.00 0000020.54 0000016.41 -000421.80
0029438.00 0000020.55 0000016.45 -000421.65
0029529.00 0000020.53 0000016.44 -000421.66
0029620.00 0000020.54 0000016.41 -000421.95
0029712.00 0000020.52 0000016.44 -000421.93
0029864.00 0000020.52 0000016.41 -000421.73
0030138.00 0000020.52 0000016.44 -000421.71
0030655.00 0000020.51 0000016.44 -000421.91
0030929.00 0000020.54 0000016.45 -000422.19
0031051.00 0000020.52 0000016.44 -000422.40
0031234.00 0000020.54 0000016.45 -000422.43
0031386.00 0000020.55 0000016.51 -000422.09
0031599.00 0000020.54 0000016.51 -000422.39
0031751.00 0000020.55 0000016.48 -000422.51
0031843.00 0000020.54 0000016.45 -000422.18
0031934.00 0000020.54 0000016.48 -000422.66
0032025.00 0000020.54 0000016.48 -000422.39
0032177.00 0000020.54 0000016.45 -000422.58
0032391.00 0000020.53 0000016.44 -000422.21
0032543.00 0000020.53 0000016.44 -000422.68
0032817.00 0000020.53 0000016.51 -000422.65
0032877.00 0000020.53 0000016.44 -000422.79
0033152.00 0000020.55 0000016.51 -000422.63
0033395.00 0000020.56 0000016.52 -000422.92
0033547.00 0000020.55 0000016.51 -000423.02
0033699.00 0000020.54 0000016.51 -000422.81
0033882.00 0000020.53 0000016.51 -000423.03
0033913.00 0000020.55 0000016.51 -000423.05
0034004.00 0000020.54 0000016.51 -000422.84
0034156.00 0000020.53 0000016.51 -000423.03
0034430.00 0000020.52 0000016.51 -000422.83
0034948.00 0000020.54 0000016.51 -000423.10
0035648.00 0000020.52 0000016.51 -000423.14
0036105.00 0000020.51 0000016.51 -000423.14
0036166.00 0000020.51 0000016.51 -000423.25
0036318.00 0000020.52 0000016.51 -000423.14
0036592.00 0000020.52 0000016.51 -000423.00
0036653.00 0000020.52 0000016.51 -000422.65
0036927.00 0000020.52 0000016.51 -000422.84
0037444.00 0000020.47 0000016.51 -000422.51
0037840.00 0000020.46 0000016.51 -000422.31
0037871.00 0000020.45 0000016.51 -000422.35
0038145.00 0000020.44 0000016.51 -000422.49
0038358.00 0000020.44 0000016.51 -000422.18
0038419.00 0000020.42 0000016.51 -000422.08
0038480.00 0000020.43 0000016.47 -000422.00
0038571.00 0000020.43 0000016.51 -000422.18
0038723.00 0000020.43 0000016.51 -000422.10
0038753.00 0000020.42 0000016.51 -000421.96
0038784.00 0000020.44 0000016.51 -000421.90
0038875.00 0000020.42 0000016.51 -000421.98
0038906.00 0000020.42 0000016.51 -000421.76
0038997.00 0000020.42 0000016.51 -000421.84
0039027.00 0000020.41 0000016.51 -000421.69
0039119.00 0000020.41 0000016.51 -000421.87
0039179.00 0000020.41 0000016.51 -000421.54
0039271.00 0000020.40 0000016.51 -000421.56
0039302.00 0000020.42 0000016.51 -000421.44
0039393.00 0000020.40 0000016.51 -000421.52
0039423.00 0000020.40 0000016.51 -000421.37
0039514.00 0000020.41 0000016.51 -000421.42
0039667.00 0000020.39 0000016.51 -000421.23
0039697.00 0000020.39 0000016.51 -000421.04
0039728.00 0000020.37 0000016.51 -000421.02
0039758.00 0000020.38 0000016.51 -000421.05
0039819.00 0000020.38 0000016.51 -000421.18
0039910.00 0000020.37 0000016.51 -000421.00
0040062.00 0000020.37 0000016.51 -000420.85
0040123.00 0000020.37 0000016.47 -000420.66
0040184.00 0000020.36 0000016.51 -000420.69
0040215.00 0000020.37 0000016.51 -000420.62
0040276.00 0000020.36 0000016.51 -000420.60
0040367.00 0000020.36 0000016.50 -000420.59
0040398.00 0000020.35 0000016.50 -000420.44
0040489.00 0000020.35 0000016.47 -000420.38
0040550.00 0000020.35 0000016.47 -000420.30
0040580.00 0000020.35 0000016.50 -000420.18
0040611.00 0000020.34 0000016.50 -000420.24
0040672.00 0000020.34 0000016.43 -000420.40
0040763.00 0000020.35 0000016.47 -000420.22
0040885.00 0000020.34 0000016.43 -000419.99
0040976.00 0000020.33 0000016.43 -000420.06
0041006.00 0000020.33 0000016.43 -000419.78
0041098.00 0000020.32 0000016.43 -000419.99
0041220.00 0000020.32 0000016.43 -000419.52
0041311.00 0000020.31 0000016.43 -000419.56
0041403.00 0000020.32 0000016.43 -000419.40
0041494.00 0000020.30 0000016.43 -000419.60
0041616.00 0000020.30 0000016.43 -000419.30
0041677.00 0000020.30 0000016.43 -000419.08
0041707.00 0000020.30 0000016.43 -000419.16
0041737.00 0000020.30 0000016.40 -000418.97
0041798.00 0000020.30 0000016.43 -000419.21
0041890.00 0000020.30 0000016.40 -000419.05
0041951.00 0000020.29 0000016.43 -000418.94
0041981.00 0000020.30 0000016.43 -000418.94
0042042.00 0000020.28 0000016.43 -000418.82
0042073.00 0000020.29 0000016.43 -000418.73
0042133.00 0000020.29 0000016.36 -000418.72
0042164.00 0000020.30 0000016.40 -000418.55
0042225.00 0000020.28 0000016.36 -000418.62
0042255.00 0000020.28 0000016.36 -000418.48
0042316.00 0000020.28 0000016.36 -000418.60
0042407.00 0000020.28 0000016.36 -000418.53
0042559.00 0000020.28 0000016.36 -000418.20
0042590.00 0000020.28 0000016.36 -000418.35
0042651.00 0000020.27 0000016.36 -000418.01
0042681.00 0000020.27 0000016.36 -000418.01
0042742.00 0000020.27 0000016.36 -000418.11
0042833.00 0000020.27 0000016.36 -000417.74
0042894.00 0000020.26 0000016.36 -000417.92
0042956.00 0000020.26 0000016.36 -000417.71
0043017.00 0000020.25 0000016.36 -000418.01
0043077.00 0000020.26 0000016.36 -000417.55
0043108.00 0000020.28 0000016.36 -000417.60
0043169.00 0000020.26 0000016.36 -000417.41
0043230.00 0000020.26 0000016.36 -000417.67
0043321.00 0000020.26 0000016.36 -000417.48
0043473.00 0000020.25 0000016.36 -000417.45
0043503.00 0000020.25 0000016.36 -000417.31
0043564.00 0000020.25 0000016.36 -000417.09
0043595.00 0000020.25 0000016.36 -000417.11
0043656.00 0000020.24 0000016.36 -000417.09
0043747.00 0000020.24 0000016.36 -000417.21
0043777.00 0000020.24 0000016.36 -000416.93
0043869.00 0000020.24 0000016.36 -000416.69
0043930.00 0000020.24 0000016.33 -000416.90
0043960.00 0000020.24 0000016.29 -000416.71
0043991.00 0000020.24 0000016.36 -000416.65
0044052.00 0000020.24 0000016.29 -000416.67
0044143.00 0000020.24 0000016.29 -000416.58
0044265.00 0000020.25 0000016.33 -000416.36
0044325.00 0000020.24 0000016.29 -000416.40
0044386.00 0000020.23 0000016.29 -000416.52
0044417.00 0000020.24 0000016.29 -000416.29
0044478.00 0000020.24 0000016.36 -000416.30
0044569.00 0000020.23 0000016.29 -000416.23
0044630.00 0000020.22 0000016.29 -000416.03
0044721.00 0000020.24 0000016.29 -000415.97
0044782.00 0000020.23 0000016.29 -000415.98
0044813.00 0000020.22 0000016.29 -000415.89
0044873.00 0000020.23 0000016.29 -000416.12
