VPX14757-W773_Striptest_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STRIP_TEST
component: 20USBSL0000773
date: 06.06.2019
runNumber: 12
SENSOR_TEST_TT: 11:08:09
SENSOR_TEST_SN: ???
passed: false
problems: false
institution: GL
Full Strip Test - Segment	1
SENSOR_TEST_VB: -150
SENSOR_TEST_FREQ: 1
W-K6440B,
SENSOR_TEST_MU: Keithley 2410
SENSOR_TEST_TEMP: 19.1
SENSOR_TEST_HUMIDITY: 45.6
5: 1280
%%SENSOR_TEST_PPI/% %%SENSOR_TEST_CURRENT/% %%SENSOR_TEST_CAP/% %%SENSOR_TEST_RES/%
0000197.00 0000000.31 0000066.69 0000001.36
0000198.00 0000000.78 0000068.33 0000001.36
0000199.00 0000000.73 0000066.88 0000001.36
0000200.00 0000000.31 0000068.98 0000001.36
0000201.00 0000000.79 0000066.53 0000001.37
0000202.00 0000001.56 0000067.91 0000001.36
0000203.00 0000000.82 0000066.47 0000001.37
0000204.00 0000000.86 0000068.16 0000001.36
0000205.00 0000000.06 0000066.39 0000001.37
0000206.00 0000004.32 0000068.03 0000001.37
0000207.00 0000000.82 0000066.55 0000001.37
0000208.00 0000001.33 0000068.67 0000001.37
0000209.00 0000000.85 0000066.33 0000001.38
0000210.00 0000003.99 0000067.75 0000001.37
0000211.00 0000000.67 0000066.41 0000001.38
0000212.00 0000001.13 0000067.96 0000001.37
0000213.00 0000000.78 0000066.55 0000001.38
0000214.00 0000002.00 0000068.12 0000001.38
0000215.00 0000000.67 0000066.60 0000001.38
0000216.00 0000001.43 0000067.98 0000001.37
0000217.00 0000000.82 0000066.38 0000001.38
0000218.00 0000002.10 0000067.59 0000001.38
0000219.00 0000000.29 0000066.32 0000001.38
0000220.00 0000000.76 0000067.53 0000001.38
0000221.00 0000000.35 0000066.12 0000001.38
0000222.00 0000001.87 0000067.45 0000001.38
0000223.00 0000000.63 0000065.64 0000001.38
0000224.00 0000000.37 0000066.77 0000001.38
0000225.00 0000001.43 0000065.57 0000001.38
0000226.00 0000000.80 0000067.25 0000001.37
0000227.00 0000000.73 0000066.30 0000001.37
0000228.00 0000000.29 0000068.06 0000001.35
0000229.00 0000000.27 0000066.58 0000001.37
0000230.00 0000000.66 0000068.17 0000001.36
0000231.00 0000000.69 0000066.76 0000001.37
0000232.00 0000000.20 0000068.89 0000001.36
0000233.00 0000000.84 0000066.41 0000001.37
0000234.00 0000001.55 0000067.83 0000001.37
0000235.00 0000000.72 0000066.27 0000001.37
0000236.00 0000000.77 0000067.96 0000001.36
0000237.00 0000000.28 0000066.30 0000001.37
0000238.00 0000004.42 0000067.92 0000001.37
0000239.00 0000000.73 0000066.53 0000001.38
0000240.00 0000001.06 0000068.52 0000001.37
0000241.00 0000000.85 0000066.25 0000001.38
0000242.00 0000004.12 0000067.66 0000001.38
0000243.00 0000000.35 0000066.17 0000001.38
0000244.00 0000001.03 0000067.70 0000001.37
0000245.00 0000000.65 0000066.22 0000001.38
0000246.00 0000002.04 0000067.63 0000001.38
0000247.00 0000000.69 0000066.26 0000001.38
0000248.00 0000001.02 0000067.72 0000001.37
0000249.00 0000000.85 0000066.14 0000001.38
0000250.00 0000001.97 0000067.34 0000001.38
0000251.00 0000000.21 0000066.13 0000001.38
0000252.00 0000000.63 0000067.48 0000001.38
0000253.00 0000000.11 0000065.98 0000001.38
0000254.00 0000001.85 0000067.35 0000001.38
0000255.00 0000000.54 0000065.58 0000001.39
0000256.00 0000000.00 0000066.74 0000001.38
0000257.00 0000001.32 0000065.48 0000001.39
0000258.00 0000000.85 0000067.17 0000001.37
0000259.00 0000000.86 0000066.23 0000001.37
0000260.00 0000000.52 0000067.99 0000001.35
0000261.00 0000000.04 0000066.54 0000001.37
0000262.00 0000000.51 0000068.09 0000001.36
0000263.00 0000000.72 0000066.74 0000001.37
0000264.00 0000000.17 0000068.71 0000001.36
0000265.00 0000000.64 0000066.32 0000001.38
0000266.00 0000001.34 0000067.73 0000001.37
0000267.00 0000000.67 0000066.25 0000001.38
0000268.00 0000000.94 0000067.92 0000001.37
0000269.00 0000000.20 0000066.19 0000001.38
0000270.00 0000004.18 0000067.91 0000001.37
0000271.00 0000000.71 0000066.36 0000001.38
0000272.00 0000001.38 0000068.48 0000001.37
0000273.00 0000000.59 0000066.14 0000001.38
0000274.00 0000003.96 0000067.51 0000001.38
0000275.00 0000000.80 0000066.15 0000001.39
0000276.00 0000000.90 0000067.61 0000001.38
0000277.00 0000000.64 0000066.05 0000001.39
0000278.00 0000001.81 0000067.58 0000001.38
0000279.00 0000000.76 0000066.14 0000001.39
0000280.00 0000001.28 0000067.56 0000001.38
0000281.00 0000000.60 0000066.00 0000001.39
0000282.00 0000001.87 0000067.32 0000001.39
0000283.00 0000000.39 0000065.99 0000001.38
0000284.00 0000000.81 0000067.30 0000001.38
0000285.00 0000000.06 0000065.86 0000001.39
0000286.00 0000001.57 0000067.30 0000001.38
0000287.00 0000000.60 0000065.50 0000001.39
0000288.00 0000000.13 0000066.70 0000001.38
0000289.00 0000001.27 0000065.52 0000001.39
0000290.00 0000000.99 0000067.02 0000001.37
0000291.00 0000000.92 0000066.11 0000001.37
0000292.00 0000000.21 0000067.96 0000001.35
0000293.00 0000000.32 0000066.44 0000001.37
0000294.00 0000000.74 0000067.98 0000001.36
0000295.00 0000000.52 0000066.59 0000001.37
0000296.00 0000000.04 0000068.72 0000001.36
0000297.00 0000000.66 0000066.20 0000001.38
0000298.00 0000001.53 0000067.69 0000001.37
0000299.00 0000000.85 0000066.12 0000001.38
0000300.00 0000000.58 0000067.77 0000001.37
0000301.00 0000000.15 0000066.21 0000001.38
0000302.00 0000004.50 0000067.80 0000001.37
0000303.00 0000000.87 0000066.27 0000001.38
0000304.00 0000001.10 0000068.32 0000001.37
0000305.00 0000000.77 0000066.03 0000001.39
0000306.00 0000004.28 0000067.41 0000001.38
0000307.00 0000000.80 0000066.02 0000001.39
0000308.00 0000000.87 0000067.52 0000001.38
0000309.00 0000000.60 0000066.03 0000001.39
0000310.00 0000002.03 0000067.50 0000001.38
0000311.00 0000000.83 0000066.06 0000001.39
0000312.00 0000001.37 0000067.51 0000001.38
0000313.00 0000000.58 0000065.89 0000001.39
0000314.00 0000002.17 0000067.28 0000001.39
0000315.00 0000000.39 0000065.92 0000001.39
0000316.00 0000000.73 0000067.29 0000001.39
0000317.00 0000000.14 0000065.80 0000001.39
0000318.00 0000001.76 0000067.23 0000001.38
0000319.00 0000000.24 0000065.39 0000001.39
0000320.00 0000000.37 0000066.58 0000001.38
0000321.00 0000001.33 0000065.31 0000001.38
0000322.00 0000000.79 0000067.02 0000001.37
0000323.00 0000001.04 0000066.05 0000001.37
0000324.00 0000000.35 0000067.87 0000001.35
0000325.00 0000000.23 0000066.30 0000001.37
0000326.00 0000000.90 0000067.90 0000001.36
0000327.00 0000000.85 0000066.49 0000001.37
0000328.00 0000000.22 0000068.53 0000001.36
0000329.00 0000000.69 0000066.02 0000001.37
0000330.00 0000001.27 0000067.56 0000001.37
0000331.00 0000000.77 0000066.08 0000001.38
0000332.00 0000001.08 0000067.69 0000001.37
0000333.00 0000000.04 0000066.08 0000001.38
0000334.00 0000004.35 0000067.62 0000001.37
0000335.00 0000000.79 0000066.17 0000001.38
0000336.00 0000001.18 0000068.25 0000001.38
0000337.00 0000000.98 0000065.97 0000001.38
0000338.00 0000003.94 0000067.28 0000001.38
0000339.00 0000000.80 0000065.97 0000001.38
0000340.00 0000000.97 0000067.47 0000001.38
